subset,image,label,source_image,source_label,bbox_count
train,data/yolo/0706_v2/images/train/frame_001500.png,data/yolo/0706_v2/labels/train/frame_001500.txt,exports/0706_v2/images/train/frame_001500.png,exports/0706_v2/labels/train/frame_001500.txt,4
train,data/yolo/0706_v2/images/train/frame_001530.png,data/yolo/0706_v2/labels/train/frame_001530.txt,exports/0706_v2/images/train/frame_001530.png,exports/0706_v2/labels/train/frame_001530.txt,4
train,data/yolo/0706_v2/images/train/frame_001560.png,data/yolo/0706_v2/labels/train/frame_001560.txt,exports/0706_v2/images/train/frame_001560.png,exports/0706_v2/labels/train/frame_001560.txt,4
train,data/yolo/0706_v2/images/train/frame_001590.png,data/yolo/0706_v2/labels/train/frame_001590.txt,exports/0706_v2/images/train/frame_001590.png,exports/0706_v2/labels/train/frame_001590.txt,4
train,data/yolo/0706_v2/images/train/frame_001680.png,data/yolo/0706_v2/labels/train/frame_001680.txt,exports/0706_v2/images/train/frame_001680.png,exports/0706_v2/labels/train/frame_001680.txt,4
train,data/yolo/0706_v2/images/train/frame_001710.png,data/yolo/0706_v2/labels/train/frame_001710.txt,exports/0706_v2/images/train/frame_001710.png,exports/0706_v2/labels/train/frame_001710.txt,4
train,data/yolo/0706_v2/images/train/frame_001770.png,data/yolo/0706_v2/labels/train/frame_001770.txt,exports/0706_v2/images/train/frame_001770.png,exports/0706_v2/labels/train/frame_001770.txt,4
val,data/yolo/0706_v2/images/val/frame_000270.png,data/yolo/0706_v2/labels/val/frame_000270.txt,exports/0706_v2/images/train/frame_000270.png,exports/0706_v2/labels/train/frame_000270.txt,7
val,data/yolo/0706_v2/images/val/frame_000330.png,data/yolo/0706_v2/labels/val/frame_000330.txt,exports/0706_v2/images/train/frame_000330.png,exports/0706_v2/labels/train/frame_000330.txt,7
val,data/yolo/0706_v2/images/val/frame_000480.png,data/yolo/0706_v2/labels/val/frame_000480.txt,exports/0706_v2/images/train/frame_000480.png,exports/0706_v2/labels/train/frame_000480.txt,8
val,data/yolo/0706_v2/images/val/frame_000570.png,data/yolo/0706_v2/labels/val/frame_000570.txt,exports/0706_v2/images/train/frame_000570.png,exports/0706_v2/labels/train/frame_000570.txt,8
val,data/yolo/0706_v2/images/val/frame_000600.png,data/yolo/0706_v2/labels/val/frame_000600.txt,exports/0706_v2/images/train/frame_000600.png,exports/0706_v2/labels/train/frame_000600.txt,8
val,data/yolo/0706_v2/images/val/frame_000690.png,data/yolo/0706_v2/labels/val/frame_000690.txt,exports/0706_v2/images/train/frame_000690.png,exports/0706_v2/labels/train/frame_000690.txt,8
val,data/yolo/0706_v2/images/val/frame_000990.png,data/yolo/0706_v2/labels/val/frame_000990.txt,exports/0706_v2/images/train/frame_000990.png,exports/0706_v2/labels/train/frame_000990.txt,5
val,data/yolo/0706_v2/images/val/frame_001080.png,data/yolo/0706_v2/labels/val/frame_001080.txt,exports/0706_v2/images/train/frame_001080.png,exports/0706_v2/labels/train/frame_001080.txt,5
val,data/yolo/0706_v2/images/val/frame_001140.png,data/yolo/0706_v2/labels/val/frame_001140.txt,exports/0706_v2/images/train/frame_001140.png,exports/0706_v2/labels/train/frame_001140.txt,5
val,data/yolo/0706_v2/images/val/frame_001620.png,data/yolo/0706_v2/labels/val/frame_001620.txt,exports/0706_v2/images/train/frame_001620.png,exports/0706_v2/labels/train/frame_001620.txt,4
val,data/yolo/0706_v2/images/val/frame_001650.png,data/yolo/0706_v2/labels/val/frame_001650.txt,exports/0706_v2/images/train/frame_001650.png,exports/0706_v2/labels/train/frame_001650.txt,4
val,data/yolo/0706_v2/images/val/frame_001740.png,data/yolo/0706_v2/labels/val/frame_001740.txt,exports/0706_v2/images/train/frame_001740.png,exports/0706_v2/labels/train/frame_001740.txt,5
